# omegac[0.200,0.700] sigma8[0.500,1.600]
2.685000000000000164e-01 8.000000000000000444e-01
6.104685308757658024e-01 1.485927989022953088e+00
4.694621149882292066e-01 8.890032450276451614e-01
4.313812890924320631e-01 1.292394726097042756e+00
2.774836743512256176e-01 1.310623551607198234e+00
4.138298054220821420e-01 5.866229853854884047e-01
5.602863508051122432e-01 9.089182019209042229e-01
5.863379719218912989e-01 1.483050127902119542e+00
6.220578891942545319e-01 7.977545089467821260e-01
4.330475314887352045e-01 1.503953841281040038e+00
2.042537131491990177e-01 1.552827369519727219e+00
2.264605069998041342e-01 8.554016329939934105e-01
2.245279028562074397e-01 5.444651302784625502e-01
5.427764803991267373e-01 6.977155128641723270e-01
5.707752984985013933e-01 1.375103368586199970e+00
5.534627838747707695e-01 1.532161800727265488e+00
3.908960924855237051e-01 8.655159741637989956e-01
6.914273795468715011e-01 1.299700254363261198e+00
3.224459701198958417e-01 6.110908454128561873e-01
3.377951296430108385e-01 1.476749263680537494e+00
6.490827526678625281e-01 5.253560352440634906e-01
2.725175774082078672e-01 9.205034206497497706e-01
2.651487356039567422e-01 1.471391111760115944e+00
2.448217448712510236e-01 7.603729430766674735e-01
3.965363931513860019e-01 5.293651104318923828e-01
4.510467828613521912e-01 1.209541390195292720e+00
3.798456439814403285e-01 1.499391594692563778e+00
4.100845399111763268e-01 1.506511207580904177e+00
6.430309385828159030e-01 1.324147927691463167e+00
2.385063653099609160e-01 1.189410515636331711e+00
6.569717884120795937e-01 1.136796140994668747e+00
6.470055304281256969e-01 8.180380670416065314e-01
5.391077987303367625e-01 1.246817001196484087e+00
3.653550447957223390e-01 1.264139639345541521e+00
3.452835850817632668e-01 1.082949204001099730e+00
3.227087108029081941e-01 1.232701884746963961e+00
4.170464538305139746e-01 1.147255730177448418e+00
2.979037253910467031e-01 8.201825239651001631e-01
2.701859666230333468e-01 5.653178012400870145e-01
2.332951054107040012e-01 9.724255053016904737e-01
5.220319898640510825e-01 1.218316996468027380e+00
5.497995734546701208e-01 1.102304653966614589e+00
6.059806966792209426e-01 6.891117385559570874e-01
6.096005408409375104e-01 9.651699261989605816e-01
5.173311883382443188e-01 6.624066779335276989e-01
6.292433931536642877e-01 1.273381123311715601e+00
3.358052103942509303e-01 9.324684057437079288e-01
3.017526236475890355e-01 1.009831200298104470e+00
6.863363743065058475e-01 1.438165953617688064e+00
4.988533538736666384e-01 1.066884597254708522e+00
2.504496607539066777e-01 1.138127486032824098e+00
4.568084696315439230e-01 6.685927602446966045e-01
3.047022777437045082e-01 6.401559860575753991e-01
6.409797055031529744e-01 8.830170226575815295e-01
3.119075082934998355e-01 5.013632977984427974e-01
4.048756803073606525e-01 8.991660066083765335e-01
2.539188827736031384e-01 1.421177444451730887e+00
5.737649341691686278e-01 7.256005602922920295e-01
5.118056250022184894e-01 7.650245766971716099e-01
2.875775555335737255e-01 1.093797569662400493e+00
6.520495941633759340e-01 1.000265568519940196e+00
2.634787140114466797e-01 7.515695751766235944e-01
2.594081540338978864e-01 1.151616126622853287e+00
2.101774517373437290e-01 1.202358971542932586e+00
6.802664099847526291e-01 6.281354362832395344e-01
4.546715818184199898e-01 1.413333947870667018e+00
2.949247776924540654e-01 1.360480668491618417e+00
3.986705478715499296e-01 1.329086169667157202e+00
4.603534857275053960e-01 1.305117476367125606e+00
4.594285865114826617e-01 6.369191657664332595e-01
5.591004875037762778e-01 1.368713759701944532e+00
5.509440380323539221e-01 8.757796169200690040e-01
6.031258598677993188e-01 1.194210576995928363e+00
4.716271798751489053e-01 1.561237003935822543e+00
4.968649248368439131e-01 1.087588559039179614e+00
2.279691022203892969e-01 1.346969218348122332e+00
3.571935721604770353e-01 8.439423614999912449e-01
3.073821602238344108e-01 1.400534639831863437e+00
5.032462800067116770e-01 1.257882341565522033e+00
3.708421505521922734e-01 1.446780387696898540e+00
5.055494607881324542e-01 1.427746510297684068e+00
6.776083973996400722e-01 8.330879058210612920e-01
6.235315016291653745e-01 1.386135570167208897e+00
3.534339351200807000e-01 1.337049031415248113e+00
3.818706829940879954e-01 7.854844469355732883e-01
5.786623528065998334e-01 1.269987031419409940e+00
6.525895468981750547e-01 1.464269737800781623e+00
5.462154178041060959e-01 1.179984341280456928e+00
2.782387904688273794e-01 6.712490681938232395e-01
